id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_popularity,on_amazon,on_apple,on_disney,on_hbo,on_netflix,on_paramount
tm101226,Toy Story 3,MOVIE,2010,G,102,"['comedy', 'animation', 'family', 'fantasy']",['US'],8.3,93.983,,,1.0,,,
tm101249,Cop Out,MOVIE,2010,R,107,"['crime', 'action', 'comedy', 'thriller']",['US'],5.5,13.63,,,,,1.0,
tm101267,Tooth Fairy,MOVIE,2010,PG,101,"['fantasy', 'sport', 'comedy', 'family']","['CA', 'US']",5.0,56.947,1.0,,,,,
tm101272,Around the World in Eighty Days,MOVIE,1956,G,182,"['fantasy', 'comedy', 'family', 'romance']",['US'],6.7,18.737,,,,1.0,,
tm10129,Azhagan,MOVIE,1991,,155,"['romance', 'family', 'drama']",['IN'],7.1,1.862,1.0,,,,,
tm101294,Midnight,MOVIE,1934,,76,"['crime', 'drama', 'romance']",['US'],5.5,2.994,1.0,,,,,1.0
tm1013111,1000 Miles from Christmas,MOVIE,2021,,102,"['comedy', 'romance', 'fantasy', 'family']",['ES'],5.7,16.617,,,,,1.0,
tm101334,Death at a Funeral,MOVIE,2010,R,92,"['comedy', 'drama']",['US'],5.7,15.989,,,,,1.0,
tm101338,Michael McDonald: Model. Citizen.,MOVIE,2010,,59,['comedy'],['XX'],6.1,0.637,1.0,,,,,
tm101343,Hornets' Nest,MOVIE,1970,R,110,"['action', 'drama', 'war', 'european']","['IT', 'US']",6.7,2.562,,,,,,1.0
tm1013493,Thathi Thavadhu Manasu,MOVIE,2003,,126,['drama'],[],,,1.0,,,,,
tm1013697,Nneka the Pretty Serpent,MOVIE,2020,,140,"['horror', 'thriller', 'fantasy']",['NG'],3.7,2.577,,,,,1.0,
tm101387,Rodan,MOVIE,1956,PG,82,"['horror', 'scifi', 'action', 'drama']",['JP'],6.2,11.116,,,,1.0,,
tm10140,Regarding Henry,MOVIE,1991,PG-13,108,"['romance', 'drama']",['US'],6.7,9.163,1.0,,,,,1.0
tm1014018,Chidambaram Railway Gate,MOVIE,2021,,107,['drama'],[],5.1,,1.0,,,,,
tm101406,Aparajito,MOVIE,1956,,110,['drama'],['IN'],8.3,6.255,,,,1.0,,
tm101406,Aparajito,MOVIE,1956,,110,['drama'],['IN'],8.3,8.416,1.0,,,,,
tm1014183,Josh Blue: Broccoli,MOVIE,2020,,64,['comedy'],[],7.1,2.078,1.0,,,,,
tm1014233,Strictly for the Streets: Vol 1.,MOVIE,2021,,69,['drama'],[],9.2,,1.0,,,,,
tm101425,Attack,MOVIE,1956,,107,"['drama', 'war', 'action']",['US'],7.4,5.352,1.0,,,,,
tm101429,The Return of Bulldog Drummond,MOVIE,1934,,73,"['crime', 'thriller', 'action']",['GB'],5.4,1.386,,,,1.0,,
tm1014389,Righteous Blood,MOVIE,2021,,81,"['western', 'action']",[],5.0,1.53,1.0,,,,,
tm1014599,Fine Wine,MOVIE,2021,,100,"['romance', 'drama']",['NG'],6.8,1.466,,,,,1.0,
tm1014793,The Immortals,MOVIE,2021,,53,['action'],[],4.0,,1.0,,,,,
tm101481,Totally Trucks Metal Monsters,MOVIE,2010,,33,[],[],,0.6,1.0,,,,,
tm1014947,Against the Ice,MOVIE,2022,,102,"['drama', 'history', 'action']","['DK', 'IS']",6.5,60.566,,,,,1.0,
tm1014948,Sweet Mahogany 2: Pure Indulgence,MOVIE,2021,,86,['drama'],[],4.9,0.6,1.0,,,,,
tm1015145,Gerri Curls,MOVIE,2021,,74,"['comedy', 'sport']",[],7.0,1.974,1.0,,,,,
tm1015303,RattleSnake: The Ahanna Story,MOVIE,2020,,135,['drama'],[],4.7,,,,,,1.0,
tm101540,Well Done Abba,MOVIE,2010,,144,['comedy'],['IN'],7.2,1.798,,,,,1.0,
tm1015601,Namma Oorukku Ennadhan Achu,MOVIE,2021,,110,"['action', 'drama', 'romance']",[],5.0,,1.0,,,,,
tm1015760,Chernobyl: The Lost Tapes,MOVIE,2023,,96,"['documentation', 'history']",['GB'],7.9,,,,,1.0,,
tm1015802,Thayumanavan,MOVIE,2003,,144,['drama'],[],,,1.0,,,,,
tm1015884,African America,MOVIE,2021,,96,['drama'],['ZA'],5.2,1.755,,,,,1.0,
tm1015890,Yellowface: Asian Whitewashing and Racism in Hollywood,MOVIE,2019,,54,"['documentation', 'history']",['FR'],6.1,1.4,,,,1.0,,
tm1015938,Meppadiyan,MOVIE,2022,,124,"['drama', 'thriller']",['IN'],7.4,2.226,1.0,,,,,
tm101597,RED,MOVIE,2010,PG-13,111,"['thriller', 'comedy', 'action', 'crime']","['US', 'CA']",7.0,31.237,,,,1.0,,
tm101609,Raajneeti,MOVIE,2010,PG,167,"['drama', 'thriller', 'crime']",['IN'],7.1,3.761,,,,,1.0,
tm1016104,My Music Story: Yoshiki,MOVIE,2020,,47,"['documentation', 'music']",[],7.3,,,,1.0,,,
tm101621,The Rise of Catherine the Great,MOVIE,1934,,95,"['romance', 'drama', 'history']",['GB'],6.3,2.197,,,,1.0,,
tm1016254,Walk Against Fear: James Meredith,MOVIE,2020,,44,['documentation'],[],5.4,0.6,,,,,,1.0
tm1016257,Truly Texas Mexican,MOVIE,2021,,86,['documentation'],['US'],6.3,0.919,1.0,,,,,
tm101627,The Return Of Chandu,MOVIE,1934,,60,"['fantasy', 'family', 'horror']",['US'],5.9,0.6,1.0,,,,,
tm1016332,Havana Street Party Presents: Beatriz Luengo,MOVIE,2021,,47,['music'],['US'],4.2,1.264,,,,1.0,,
tm1016766,Where Love Lives,MOVIE,2021,,55,"['documentation', 'music']",[],7.1,0.739,1.0,,,,,
tm101680,Permanent Vacation,MOVIE,1984,,75,"['drama', 'comedy']",['US'],6.2,6.008,,,,1.0,,
tm101684,Romantik Komedi,MOVIE,2010,G,95,"['comedy', 'romance']",['TR'],5.3,4.254,,,,,1.0,
tm1016894,Crossroads Siwoku,MOVIE,2020,,100,['drama'],[],,,1.0,,,,,
tm1016971,Not Left in Vegas,MOVIE,2020,,119,['comedy'],[],7.3,,1.0,,,,,
tm1016993,The Hidden Kingdoms of China,MOVIE,2020,PG,88,['documentation'],['CN'],6.9,0.762,,,1.0,,,
tm1017031,The Wedding Trip,MOVIE,2021,,99,"['comedy', 'romance']",[],5.6,5.221,1.0,,,,,
tm1017083,Pure the movie series,MOVIE,2018,,144,['drama'],[],,,1.0,,,,,
tm1017085,Madhagaja,MOVIE,2021,,132,['action'],['IN'],5.3,3.585,1.0,,,,,
tm1017098,Pure the movie series 2,MOVIE,2018,,152,['drama'],[],,,1.0,,,,,
tm1017114,The City of Wild Beasts,MOVIE,2021,,95,"['drama', 'music']","['EC', 'CO']",6.7,2.159,,,,1.0,,
tm1017196,"Legacy, notre héritage",MOVIE,2021,,100,['documentation'],['FR'],8.3,,1.0,,,,,
tm101730,Up in the Cellar,MOVIE,1970,R,94,"['comedy', 'romance']",['US'],5.2,0.84,1.0,,,,,1.0
tm1017409,Pure,MOVIE,2021,,12,"['drama', 'romance']",[],7.0,1.04,,,,1.0,,
tm1017664,Baggio: The Divine Ponytail,MOVIE,2021,,91,"['sport', 'drama']",['IT'],6.1,11.747,,,,,1.0,
tm101797,Blue Steel,MOVIE,1934,,59,"['western', 'drama', 'action']",['US'],5.3,4.457,1.0,,,,,1.0
tm1017992,Natyam,MOVIE,2021,,136,['drama'],[],8.0,1.841,1.0,,,,,
tm1018055,Preetam,MOVIE,2021,G,132,['romance'],[],7.3,,1.0,,,,,
tm1018180,Persona: The Dark Truth Behind Personality Tests,MOVIE,2021,,85,['documentation'],['US'],5.5,3.266,,,,1.0,,
